Time,Posicao,Pontos,Vitorias,Empates,Derrotas,Saldo,Aproveitamento
CAP,13,48,13,9,16,-1,"42,11"
BOT,12,51,13,12,13,2,"44,74"
COR,9,53,15,8,15,-5,"46,49"
CRU,10,53,14,11,13,7,"46,49"
FLA,11,52,15,7,16,-4,"45,61"
FLU,15,45,11,12,15,-10,"39,47"
GRE,3,67,20,7,11,19,"58,77"
INT,2,69,20,9,9,16,"60,53"
PAL,16,44,12,8,18,-12,"38,60"
SAN,4,64,18,10,10,22,"56,14"
SAO,1,78,22,12,4,34,"68,42"
VAS,6,59,15,14,9,7,"51,75"
CAM,8,55,15,10,13,12,"48,25"
CAP,12,54,14,12,12,1,"47,37"
BOT,9,55,14,13,11,4,"48,25"
COR,17,44,10,14,14,-10,"38,60"
CRU,5,60,18,6,14,15,"52,63"
FLA,3,61,17,10,11,6,"53,51"
FLU,4,61,16,13,9,18,"53,51"
GRE,6,58,17,7,14,1,"50,88"
INT,11,54,15,9,14,5,"47,37"
PAL,7,58,16,10,12,1,"50,88"
SAN,2,62,19,5,14,10,"54,39"
SAO,1,77,23,8,7,36,"67,54"
VAS,10,54,15,9,14,11,"47,37"
CAM,12,48,12,12,14,-11,"42,11"
CAP,13,45,12,9,17,-9,"39,47"
BOT,7,53,15,8,15,7,"46,49"
CRU,3,67,21,4,13,15,"58,77"
FLA,5,64,18,10,10,19,"56,14"
FLU,14,45,11,12,15,1,"39,47"
GRE,2,72,21,9,8,24,"63,16"
INT,6,54,15,9,14,1,"47,37"
PAL,4,65,19,8,11,10,"57,02"
SAN,15,45,11,12,15,-9,"39,47"
SAO,1,75,21,12,5,30,"65,79"
VAS,18,40,11,7,20,-16,"35,09"
CAM,7,56,16,8,14,-1,"49,12"
CAP,14,48,13,9,16,-7,"42,11"
BOT,15,47,11,14,13,-6,"41,23"
COR,10,52,14,10,14,-4,"45,61"
CRU,3,62,18,8,12,5,"54,39"
FLA,1,67,19,10,9,14,"58,77"
FLU,16,46,11,13,14,-7,"40,35"
GRE,8,55,15,10,13,21,"48,25"
INT,2,65,19,8,11,21,"57,02"
PAL,5,62,17,11,10,13,"54,39"
SAN,12,49,12,13,13,0,"42,98"
SAO,3,65,18,11,9,15,"57,02"
CAM,13,45,13,6,19,-12,"39,47"
CAP,5,60,17,9,12,-1,"52,63"
BOT,6,59,14,17,7,12,"51,75"
COR,3,68,19,11,8,24,"59,65"
CRU,2,69,20,9,9,15,"60,53"
FLA,14,44,9,17,12,-3,"38,60"
FLU,1,71,20,11,7,26,"62,28"
GRE,4,63,17,12,9,24,"55,26"
INT,7,58,16,10,12,7,"50,88"
PAL,10,50,12,14,12,-1,"43,86"
SAN,8,56,15,11,12,13,"49,12"
SAO,9,55,15,10,13,0,"48,25"
VAS,11,49,11,16,11,-2,"42,98"
CAM,15,45,13,6,19,-10,"39,47"
CAP,17,41,10,11,17,-17,"35,96"
BOT,9,56,16,8,14,3,"49,12"
COR,1,71,21,8,9,17,"62,28"
CRU,16,43,11,10,17,-3,"37,72"
FLA,4,61,15,16,7,12,"53,51"
FLU,3,63,20,3,15,9,"55,26"
GRE,12,48,13,9,16,-8,"42,11"
INT,5,60,16,12,10,14,"52,63"
PAL,11,50,11,17,10,4,"43,86"
SAN,10,53,15,8,15,0,"46,49"
SAO,6,59,16,11,11,11,"51,75"
VAS,2,69,19,12,7,17,"60,53"
CAM,2,72,20,12,6,27,"63,16"
BOT,7,55,15,10,13,10,"48,25"
COR,6,57,15,12,11,12,"50,00"
CRU,9,52,15,7,16,-4,"45,61"
FLA,11,50,12,14,12,-7,"43,86"
FLU,1,77,22,11,5,28,"67,54"
GRE,3,71,20,11,7,23,"62,28"
INT,10,52,13,13,12,4,"45,61"
PAL,18,34,9,7,22,-15,"29,82"
SAN,8,53,13,14,11,6,"46,49"
SAO,4,66,20,6,12,22,"57,89"
VAS,5,58,16,10,12,1,"50,88"
CAM,8,57,15,12,11,11,"50,00"
CAP,3,64,18,10,10,16,"56,14"
BOT,4,61,17,10,11,14,"53,51"
COR,10,50,11,17,10,5,"43,86"
CRU,1,76,23,7,8,40,"66,67"
FLA,16,49,12,13,13,-3,"42,98"
FLU,15,46,12,10,16,-4,"40,35"
GRE,2,65,18,11,9,7,"57,02"
INT,13,48,11,15,12,-1,"42,11"
SAN,7,57,15,12,11,13,"50,00"
SAO,9,50,14,8,16,-1,"43,86"
VAS,18,44,11,11,16,-11,"38,60"
CAM,5,62,17,11,10,13,"54,39"
CAP,8,54,15,9,14,1,"47,37"
BOT,19,34,9,7,22,-17,"29,82"
COR,4,69,19,12,7,18,"60,53"
CRU,1,80,24,8,6,29,"70,18"
FLA,10,52,14,10,14,-1,"45,61"
FLU,6,61,17,10,11,19,"53,51"
GRE,7,61,17,10,11,12,"53,51"
INT,3,69,21,6,11,12,"60,53"
PAL,16,40,11,7,20,-25,"35,09"
SAN,9,53,15,8,15,7,"46,49"
SAO,2,70,20,10,8,19,"61,40"
CAM,2,69,21,6,11,18,"60,53"
CAP,10,51,14,9,15,-5,"44,74"
COR,1,81,24,9,5,40,"71,05"
CRU,8,55,15,10,13,9,"48,25"
FLA,12,49,15,4,19,-8,"42,98"
FLU,13,47,14,5,19,-9,"41,23"
GRE,3,68,20,8,10,20,"59,65"
INT,5,60,17,9,12,1,"52,63"
PAL,9,53,15,8,15,9,"46,49"
SAN,7,58,16,10,12,18,"50,88"
SAO,4,62,18,8,12,6,"54,39"
VAS,18,41,10,11,17,-26,"35,96"
CAM,4,62,17,11,10,8,"54,39"
CAP,6,57,17,6,15,6,"50,00"
BOT,5,59,17,8,13,4,"51,75"
COR,7,55,15,10,13,6,"48,25"
CRU,12,51,14,9,15,-1,"44,74"
FLA,3,71,20,11,7,17,"62,28"
FLU,13,50,13,11,14,0,"43,86"
GRE,9,53,14,11,13,-3,"46,49"
INT,17,43,11,10,17,-6,"37,72"
PAL,1,80,24,8,6,30,"70,18"
SAN,2,71,22,5,11,24,"62,28"
SAO,10,52,14,10,14,8,"45,61"
CAM,9,54,14,12,12,3,"47,37"
CAP,11,51,14,9,15,2,"44,74"
BOT,10,53,14,11,13,3,"46,49"
COR,1,72,21,9,8,20,"63,16"
CRU,5,57,15,12,11,8,"50,00"
FLA,6,56,15,11,12,11,"49,12"
FLU,14,47,11,14,13,-3,"41,23"
GRE,4,62,18,8,12,19,"54,39"
PAL,2,63,19,6,13,16,"55,26"
